,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5
0.0655,2.65566036,-2.06132074,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0665,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0675,2.65566036,-2.06132074,7.37264156,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0685,2.65566036,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0695,7.37264156,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0705,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0715,-2.06132074,12.08962266,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0725,2.65566036,7.37264156,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0735,7.37264156,7.37264156,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0745,7.37264156,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0755,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0765,-2.06132074,12.08962266,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0775,2.65566036,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0785,-2.06132074,7.37264156,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0795,2.65566036,2.65566036,-2.06132074,-2.06132074,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0805,2.65566036,7.37264156,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
