,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5
0.0515,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.0525,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0535,17.09303852,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.0545,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.0555,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,8.1927109,-0.8981982,-0.8981982
0.0565,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.0575,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0585,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0595,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0605,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,8.86429156,-0.22661754,8.1927109,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0615,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0625,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
