,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5
0.0195,15.33721746,21.11533766,-1.61193504,-1.61193504,-1.61193504,-1.01608244,16.02937206,-1.01608244,-1.01608244,-1.01608244,9.76101052,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0205,-1.61193504,9.75170136,4.06988316,-1.61193504,-1.61193504,10.28335256,10.34755396,-1.01608244,-1.01608244,-1.01608244,-1.53842448,4.14339372,4.14339372,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0215,4.03778246,4.06988316,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0225,-1.61193504,9.75170136,-1.61193504,-1.61193504,-1.61193504,10.28335256,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,4.14339372,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0235,4.03778246,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,4.66573576,-1.01608244,-1.01608244,-1.01608244,9.76101052,9.82521192,-1.53842448,-1.53842448,-1.53842448,5.4907871,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0245,20.98693506,4.06988316,-1.61193504,-1.61193504,-1.61193504,10.28335256,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0255,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0265,4.03778246,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,4.66573576,-1.01608244,-1.01608244,-1.01608244,21.06044562,4.14339372,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0275,4.03778246,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,4.14339372,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0285,4.03778246,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0295,4.03778246,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0305,9.68749996,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,4.14339372,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0315,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,4.14339372,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0325,4.03778246,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,4.14339372,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0335,9.68749996,4.06988316,-1.61193504,-1.61193504,-1.61193504,10.28335256,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0345,4.03778246,15.43351946,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0355,4.03778246,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0365,4.03778246,4.06988316,-1.61193504,-1.61193504,4.06988316,4.63363506,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0375,4.03778246,4.06988316,-1.61193504,4.06988316,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
