,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5
0.0375,5.4074074,5.4074074,12.8148148,-2,12.8148148,-0.94814816,-0.94814816,6.45925924,6.45925924,-0.94814816,-1.36296296,6.04444444,6.04444444,6.04444444,-1.36296296,6.637037,6.637037,14.0444444,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0385,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,13.45185184,-1.36296296,6.04444444,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,6.5925926,-0.8148148,-0.8148148,-0.8148148
0.0395,-2,-2,42.4444444,12.8148148,12.8148148,-0.94814816,-0.94814816,-0.94814816,-0.94814816,13.86666664,13.45185184,6.04444444,6.04444444,13.45185184,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,6.5925926,-0.8148148
0.0405,-2,5.4074074,-2,-2,5.4074074,-0.94814816,6.45925924,6.45925924,-0.94814816,-0.94814816,-1.36296296,13.45185184,6.04444444,-1.36296296,6.04444444,-0.7703704,-0.7703704,6.637037,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0415,-2,-2,-2,5.4074074,5.4074074,-0.94814816,-0.94814816,6.45925924,-0.94814816,-0.94814816,-1.36296296,6.04444444,20.85925924,6.04444444,6.04444444,-0.7703704,-0.7703704,-0.7703704,6.637037,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0425,-2,12.8148148,-2,-2,-2,-0.94814816,6.45925924,28.68148144,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,-1.36296296,20.85925924,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0435,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,6.04444444,13.45185184,6.04444444,-1.36296296,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0445,5.4074074,-2,5.4074074,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,6.45925924,-1.36296296,-1.36296296,6.04444444,6.04444444,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0455,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,6.04444444,-1.36296296,-0.7703704,-0.7703704,-0.7703704,6.637037,6.637037,6.5925926,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0465,-2,-2,5.4074074,5.4074074,-2,-0.94814816,-0.94814816,-0.94814816,6.45925924,-0.94814816,-1.36296296,-1.36296296,-1.36296296,6.04444444,-1.36296296,-0.7703704,-0.7703704,6.637037,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
