,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.0175,38.85285711,18.44469391,18.03653061,38.85285711,18.03653061,18.03653061,38.85285711,18.03653061,38.03653061,38.03653061,19.57224493,80.79673473,39.16408163,39.98040813,59.16408163,19.16408163,60.38857143,79.16408163,39.16408163,59.16408163,79.66775515,100.0759184,18.03510205,79.66775515,58.03510205,38.03510205,79.66775515,38.03510205,18.03510205,38.03510205,60.12530613,19.30897963,38.90081633,80.53346943,38.90081633,38.90081633,39.71714283,18.90081633,58.90081633,-1.09918367,-0.35265305,20.05551025,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,79.64734695,-0.35265305
0.0185,59.26102041,18.44469391,78.03653061,-1.96346939,-1.96346939,18.03653061,18.44469391,18.03653061,18.03653061,18.03653061,60.38857143,19.57224493,59.16408163,39.98040813,39.16408163,59.16408163,60.38857143,59.16408163,-0.83591837,79.16408163,18.44326535,59.25959185,38.03510205,100.0759184,-1.96489795,18.03510205,18.44326535,58.03510205,58.03510205,18.03510205,39.71714283,60.12530613,-1.09918367,-1.09918367,78.90081633,38.90081633,19.30897963,18.90081633,18.90081633,118.9008163,-0.35265305,-0.35265305,-0.35265305,20.05551025,19.64734695,39.64734695,40.46367345,19.64734695,-0.35265305,19.64734695
0.0195,38.85285711,18.44469391,58.03653061,38.85285711,98.03653061,18.03653061,18.44469391,38.03653061,18.03653061,-1.96346939,-0.83591837,-0.83591837,-0.83591837,39.98040813,19.16408163,-0.83591837,19.57224493,39.16408163,39.16408163,19.16408163,38.85142855,79.66775515,78.03510205,-1.96489795,38.03510205,38.03510205,18.44326535,18.03510205,18.03510205,18.03510205,39.71714283,19.30897963,38.90081633,19.30897963,38.90081633,58.90081633,19.30897963,38.90081633,18.90081633,18.90081633,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0205,79.66918371,18.44469391,18.03653061,-1.96346939,38.03653061,-1.96346939,38.85285711,38.03653061,38.03653061,18.03653061,39.98040813,19.57224493,79.16408163,-0.83591837,-0.83591837,59.16408163,-0.83591837,-0.83591837,19.16408163,39.16408163,-1.96489795,38.85142855,-1.96489795,79.66775515,18.03510205,-1.96489795,-1.96489795,-1.96489795,-1.96489795,38.03510205,19.30897963,19.30897963,-1.09918367,19.30897963,18.90081633,18.90081633,-1.09918367,-1.09918367,18.90081633,18.90081633,20.05551025,-0.35265305,-0.35265305,20.05551025,-0.35265305,19.64734695,-0.35265305,19.64734695,19.64734695,-0.35265305
0.0215,38.85285711,18.44469391,18.03653061,18.44469391,38.03653061,18.03653061,-1.96346939,18.03653061,18.03653061,-1.96346939,19.57224493,60.38857143,19.16408163,-0.83591837,19.16408163,19.16408163,-0.83591837,19.16408163,-0.83591837,39.16408163,18.44326535,38.85142855,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,38.03510205,38.03510205,-1.09918367,19.30897963,18.90081633,19.30897963,-1.09918367,38.90081633,19.30897963,-1.09918367,-1.09918367,-1.09918367,20.05551025,-0.35265305,19.64734695,40.46367345,-0.35265305,19.64734695,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0225,-1.96346939,-1.96346939,-1.96346939,38.85285711,-1.96346939,-1.96346939,-1.96346939,-1.96346939,18.03653061,-1.96346939,19.57224493,-0.83591837,-0.83591837,19.57224493,19.16408163,-0.83591837,19.57224493,19.16408163,-0.83591837,-0.83591837,18.44326535,38.85142855,18.03510205,18.44326535,38.03510205,-1.96489795,-1.96489795,18.03510205,18.03510205,-1.96489795,-1.09918367,-1.09918367,18.90081633,19.30897963,-1.09918367,-1.09918367,19.30897963,-1.09918367,-1.09918367,38.90081633,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0235,18.44469391,-1.96346939,18.03653061,18.44469391,18.03653061,18.03653061,-1.96346939,-1.96346939,-1.96346939,-1.96346939,19.57224493,-0.83591837,-0.83591837,19.57224493,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,18.44326535,18.44326535,58.03510205,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,40.46367345,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0245,-1.96346939,18.44469391,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,18.03653061,-1.96346939,19.57224493,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,18.44326535,59.25959185,38.03510205,-1.96489795,18.03510205,-1.96489795,-1.96489795,-1.96489795,18.03510205,-1.96489795,19.30897963,19.30897963,18.90081633,19.30897963,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0255,-1.96346939,-1.96346939,38.03653061,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,39.16408163,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,18.03510205,-1.96489795,18.03510205,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,19.30897963,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0265,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0275,-1.96346939,38.85285711,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,18.90081633,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
